n,nstd,lnn,nd2,R
1480,36.65,9.95152,9.8955,0.0567
1114,35.44,7.490536,9.5688,0.1107
833.33,26.6,5.60331092,7.182,0.1674
625.23,22.83,4.20404652,6.1641,0.2268
461.12,17.03,3.10057088,4.5981,0.2781
335.57,20.95,2.25637268,5.6565,0.3375
235.43,16.84,1.58303132,4.5468,0.3996
166.32,13.03,1.11833568,3.5181,0.4644
57.65,7.9,0.3876386,2.133,0.5967
40.17,7.07,0.27010308,1.9089,0.6318
24.2,5.47,0.1627208,1.4769,0.7101
13.47,3.89,0.09057228,1.0503,0.7425
7.75,3.08,0.052111,0.8316,0.8073
4.28,2.02,0.02877872,0.5454,0.8667
3.97,2.16,0.02669428,0.5832,0.891
2.25,1.48,0.015129,0.3996,0.9477
1.75,1.24,0.011767,0.3348,0.9585
1.67,1.22,0.01122908,0.3294,0.9747
1.37,1.31,0.00921188,0.3537,1.0584
1.47,1.05,0.00988428,0.2835,1.0719
