EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
6.30348,0,0,0
60,0,0,0
5.7837,0,0,0
60,0,0,0
7.58198,0,0,0
4.13809,0,0,0
60,0,0,0
1.59782,0,0,0
10.8775,0,0,0
10.6167,0,0,0
60,0,0,0
15.5627,0,0,0
12.057,0,0,0
60,0,0,0
60,0,0,0
3.97523,0,0,0
8.20173,0,0,0
60,0,0,0
7.28133,0,0,0
3.14963,0,0,0
8.61482,0,0,0
9.42393,0,0,0
5.79918,0,0,0
60,0,0,0
7.16917,0,0,0
9.00571,0,0,0
60,0,0,0
1.34801,0,0,0
60,0,0,0
60,0,0,0
11.1132,0,0,0
60,0,0,0
6.8187,0,0,0
0.575408,0,0,0
6.87759,0,0,0
7.84786,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.58829,0,0,0
2.82324,0,0,0
60,0,0,0
60,0,0,0
4.26505,0,0,0
60,0,0,0
2.55788,0,0,0
60,0,0,0
10.9312,0,0,0
3.76596,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.0571,0,0,0
60,0,0,0
3.81414,0,0,0
60,0,0,0
0.445261,0,0,0
1.17809,0,0,0
9.99263,0,0,0
0.666052,0,0,0
60,0,0,0
60,0,0,0
1.9806,0,0,0
60,0,0,0
60,0,0,0
3.33319,0,0,0
2.38244,0,0,0
60,0,0,0
5.42517,0,0,0
11.2344,0,0,0
10.3474,0,0,0
10.328,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.8439,0,0,0
60,0,0,0
4.67446,0,0,0
60,0,0,0
1.57046,0,0,0
2.84994,0,0,0
9.51942,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.50986,0,0,0
60,0,0,0
5.66934,0,0,0
2.44459,0,0,0
1.81329,0,0,0
8.46689,0,0,0
60,0,0,0
11.2009,0,0,0
5.5951,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.10277,0,0,0
0.534202,0,0,0
60,0,0,0
0.132606,0,0,0
2.17691,0,0,0
60,0,0,0
60,0,0,0
7.35827,0,0,0
60,0,0,0
0.908191,0,0,0
1.81894,0,0,0
60,0,0,0
0.409606,0,0,0
3.72183,0,0,0
60,0,0,0
60,0,0,0
0.259466,0,0,0
60,0,0,0
60,0,0,0
7.45156,0,0,0
9.34044,0,0,0
1.56822,0,0,0
0.382448,0,0,0
60,0,0,0
9.58587,0,0,0
60,0,0,0
1.41197,0,0,0
60,0,0,0
60,0,0,0
3.3527,0,0,0
2.52384,0,0,0
60,0,0,0
3.40021,0,0,0
60,0,0,0
1.59893,0,0,0
3.78345,0,0,0
8.93881,0,0,0
5.56437,0,0,0
10.9323,0,0,0
60,0,0,0
8.45074,0,0,0
60,0,0,0
1.39844,0,0,0
3.71072,0,0,0
1.52192,0,0,0
4.67265,0,0,0
60,0,0,0
10.0162,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.368507,0,0,0
11.0499,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.30928,0,0,0
1.56491,0,0,0
60,0,0,0
0.725967,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.49878,0,0,0
10.615,0,0,0
60,0,0,0
2.3806,0,0,0
2.05618,0,0,0
60,0,0,0
1.36877,0,0,0
3.94228,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.28738,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.3103,0,0,0
8.88012,0,0,0
10.1826,0,0,0
60,0,0,0
1.65604,0,0,0
6.68923,0,0,0
10.2986,0,0,0
60,0,0,0
7.38079,0,0,0
8.62334,0,0,0
60,0,0,0
5.01118,0,0,0
3.14755,0,0,0
1.25648,0,0,0
28.0825,0,0,0
5.43721,0,0,0
4.02737,0,0,0
2.60802,0,0,0
3.15603,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.19709,0,0,0
10.9547,0,0,0
60,0,0,0
9.6798,0,0,0
60,0,0,0
60,0,0,0
1.70771,0,0,0
4.56003,0,0,0
60,0,0,0
10.3484,0,0,0
6.64659,0,0,0
60,0,0,0
11.2864,0,0,0
60,0,0,0
60,0,0,0
10.6072,0,0,0
60,0,0,0
4.54115,0,0,0
60,0,0,0
6.66277,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.08599,0,0,0
60,0,0,0
41.2032,0,0,0
10.6184,0,0,0
2.46788,0,0,0
0.823215,0,0,0
60,0,0,0
7.58016,0,0,0
60,0,0,0
5.46882,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.3622,0,0,0
60,0,0,0
60,0,0,0
0.378478,0,0,0
60,0,0,0
60,0,0,0
8.3801,0,0,0
60,0,0,0
1.97972,0,0,0
6.9441,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.530724,0,0,0
60,0,0,0
8.45248,0,0,0
60,0,0,0
9.60537,0,0,0
1.81153,0,0,0
0.957523,0,0,0
4.97511,0,0,0
2.48112,0,0,0
10.6874,0,0,0
10.2432,0,0,0
1.37109,0,0,0
11.4082,0,0,0
6.62535,0,0,0
3.37037,0,0,0
60,0,0,0
7.19575,0,0,0
2.37842,0,0,0
60,0,0,0
60,0,0,0
9.79458,0,0,0
60,0,0,0
60,0,0,0
9.6809,0,0,0
0.735487,0,0,0
60,0,0,0
2.69198,0,0,0
11.2167,0,0,0
6.02868,0,0,0
8.27257,0,0,0
9.76784,0,0,0
7.29787,0,0,0
60,0,0,0
2.10915,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.23881,0,0,0
2.56621,0,0,0
10.6039,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.1675,0,0,0
60,0,0,0
1.91986,0,0,0
60,0,0,0
9.06215,0,0,0
60,0,0,0
2.03317,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.737051,0,0,0
5.13876,0,0,0
5.98013,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.57661,0,0,0
9.16228,0,0,0
60,0,0,0
3.41316,0,0,0
7.84834,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.68742,0,0,0
5.58256,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.09213,0,0,0
5.16675,0,0,0
0.283775,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.80282,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.9575,0,0,0
60,0,0,0
3.14606,0,0,0
60,0,0,0
5.94542,0,0,0
8.7424,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.31823,0,0,0
10.0195,0,0,0
10.1664,0,0,0
9.58635,0,0,0
60,0,0,0
6.91487,0,0,0
9.6848,0,0,0
1.36675,0,0,0
6.06177,0,0,0
3.47438,0,0,0
60,0,0,0
10.8551,0,0,0
10.106,0,0,0
5.65343,0,0,0
9.22797,0,0,0
60,0,0,0
5.8192,0,0,0
60,0,0,0
60,0,0,0
0.834201,0,0,0
8.00446,0,0,0
60,0,0,0
9.24328,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.85524,0,0,0
2.11804,0,0,0
6.48612,0,0,0
60,0,0,0
60,0,0,0
0.524229,0,0,0
1.09475,0,0,0
0.229436,0,0,0
8.97497,0,0,0
60,0,0,0
3.00617,0,0,0
60,0,0,0
60,0,0,0
0.280591,0,0,0
6.85116,0,0,0
60,0,0,0
1.63131,0,0,0
6.3603,0,0,0
60,0,0,0
4.82151,0,0,0
