Interval between events (microseconds) - histogram count,Number of counts - histogram count
2,68
6,400
10,481
14,489
18,458
22,441
26,466
30,399
34,383
38,402
42,411
46,410
50,383
54,346
58,368
62,382
66,347
70,359
74,327
78,344
82,339
86,346
90,320
94,321
98,275
102,288
106,261
110,318
114,289
118,308
122,283
126,269
130,267
134,255
138,246
142,250
146,247
150,237
154,224
158,233
162,246
166,229
170,218
174,222
178,225
182,196
186,197
190,212
194,182
198,158
202,190
206,196
210,164
214,200
218,177
222,162
226,151
230,150
234,159
238,163
242,152
246,145
250,154
254,169
258,138
262,143
266,135
270,120
274,124
278,135
282,120
286,111
290,126
294,102
298,111
302,96
306,132
310,105
314,95
318,113
322,98
326,99
330,89
334,103
338,86
342,81
346,101
350,103
354,90
358,95
362,84
366,99
370,90
374,75
378,73
382,89
386,75
390,71
394,82
398,79
402,67
406,65
410,57
414,54
418,64
422,60
426,66
430,61
434,61
438,48
442,53
446,58
450,57
454,39
458,58
462,45
466,50
470,50
474,49
478,46
482,47
486,44
490,43
494,41
498,35
502,34
506,41
510,36
514,34
518,28
522,44
526,39
530,46
534,32
538,26
542,43
546,37
550,37
554,35
558,26
562,36
566,22
570,30
574,35
578,32
582,31
586,32
590,30
594,24
598,22
602,31
606,22
610,26
614,21
618,28
622,35
626,26
630,31
634,20
638,22
642,27
646,27
650,14
654,19
658,14
662,18
666,9
670,14
674,18
678,18
682,17
686,13
690,15
694,16
698,12
702,18
706,18
710,6
714,15
718,14
722,12
726,11
730,12
734,14
738,9
742,16
746,11
750,15
754,17
758,9
762,13
766,13
770,12
774,10
778,11
782,11
786,10
790,13
794,12
798,24
802,14
806,8
810,6
814,17
818,9
822,6
826,12
830,8
834,10
838,8
842,5
846,10
850,10
854,11
858,9
862,13
866,8
870,9
874,7
878,8
882,3
886,10
890,4
894,5
898,4
902,7
906,6
910,14
914,4
918,6
922,9
926,6
930,5
934,3
938,8
942,4
946,4
950,5
954,4
958,3
962,4
966,4
970,2
974,8
978,1
982,4
986,2
990,2
994,4
998,4
1002,2
1006,5
1010,2
1014,6
1018,4
1022,3
1026,4
1030,4
1034,4
1038,5
1042,4
1046,4
1050,4
1054,4
1058,1
1062,3
1066,4
1070,1
1074,1
1078,4
1082,1
1086,2
1090,1
1094,2
1098,3
1102,1
1106,2
1110,1
1114,4
1118,2
1122,6
1126,0
1130,1
1134,0
1138,0
1142,2
1146,1
1150,1
1154,0
1158,2
1162,0
1166,2
1170,4
1174,3
1178,0
1182,1
1186,2
1190,3
1194,2
1198,2
1202,0
1206,3
1210,1
1214,2
1218,0
1222,2
1226,2
1230,1
1234,1
1238,2
1242,0
1246,1
1250,3
1254,0
1258,3
1262,1
1266,1
1270,2
1274,2
1278,1
1282,2
1286,1
1290,1
1294,0
1298,0
1302,0
1306,0
1310,0
1314,0
1318,1
1322,0
1326,0
1330,0
1334,2
1338,0
1342,1
1346,1
1350,0
1354,1
1358,2
1362,1
1366,0
1370,1
1374,0
1378,0
1382,2
1386,0
1390,0
1394,1
1398,0
1402,1
1406,1
1410,0
1414,0
1418,0
1422,0
1426,0
1430,0
1434,0
1438,0
1442,0
1446,0
1450,1
1454,0
1458,0
1462,0
1466,0
1470,0
1474,0
1478,0
1482,0
1486,1
1490,0
1494,0
1498,0
1502,1
1506,1
1510,1
1514,0
1518,0
1522,0
1526,0
1530,0
1534,0
1538,0
1542,0
1546,0
1550,0
1554,0
1558,1
1562,0
1566,0
1570,1
1574,0
1578,0
1582,1
1586,0
1590,0
1594,0
1598,0
1602,0
1606,0
1610,1
1614,0
1618,0
1622,0
1626,0
1630,0
1634,0
1638,0
1642,0
1646,0
1650,1
1654,0
1658,0
1662,0
1666,0
1670,0
1674,0
1678,0
1682,0
1686,0
1690,0
1694,0
1698,2
1702,1
1706,0
1710,0
1714,0
1718,1
1722,0
1726,0
1730,1
1734,1
1738,0
1742,0
1746,1
1750,0
1754,0
1758,0
1762,0
1766,0
1770,1
1774,0
1778,0
1782,0
1786,0
1790,1
1794,0
1798,0
1802,0
1806,0
1810,0
1814,0
1818,0
1822,0
1826,0
1830,0
1834,0
1838,1
1842,0
1846,2
1850,0
1854,0
1858,0
1862,0
1866,0
1870,0
1874,0
1878,0
1882,0
1886,0
1890,0
1894,0
1898,0
1902,0
1906,0
1910,0
1914,0
1918,0
1922,0
1926,0
1930,0
1934,0
1938,0
1942,0
1946,0
1950,0
1954,0
1958,0
1962,0
1966,0
1970,0
1974,0
1978,0
1982,0
1986,0
1990,0
1994,0
