Interval between events (microseconds) - histogram count	Number of counts - histogram count
2	64
6	418
10	437
14	437
18	465
22	399
26	467
30	393
34	483
38	413
42	404
46	387
50	396
54	416
58	412
62	339
66	375
70	330
74	356
78	356
82	321
86	340
90	309
94	312
98	304
102	328
106	290
110	264
114	293
118	303
122	277
126	267
130	262
134	261
138	264
142	278
146	239
150	234
154	230
158	228
162	199
166	209
170	214
174	216
178	218
182	198
186	210
190	200
194	179
198	187
202	202
206	166
210	174
214	166
218	167
222	165
226	151
230	162
234	174
238	161
242	169
246	156
250	146
254	138
258	137
262	147
266	134
270	138
274	111
278	123
282	121
286	122
290	125
294	126
298	109
302	119
306	115
310	118
314	109
318	96
322	111
326	101
330	121
334	90
338	111
342	110
346	84
350	91
354	81
358	84
362	86
366	86
370	66
374	70
378	77
382	67
386	73
390	79
394	77
398	70
402	59
406	63
410	80
414	63
418	63
422	72
426	64
430	58
434	62
438	54
442	67
446	50
450	42
454	46
458	62
462	60
466	46
470	51
474	38
478	35
482	59
486	49
490	45
494	37
498	51
502	42
506	48
510	40
514	40
518	32
522	36
526	33
530	36
534	26
538	29
542	41
546	33
550	39
554	40
558	35
562	36
566	20
570	31
574	31
578	29
582	38
586	24
590	25
594	23
598	17
602	23
606	24
610	32
614	24
618	17
622	21
626	19
630	18
634	23
638	23
642	21
646	20
650	25
654	20
658	23
662	27
666	17
670	18
674	18
678	20
682	19
686	22
690	14
694	18
698	27
702	18
706	13
710	10
714	8
718	17
722	17
726	21
730	12
734	14
738	13
742	11
746	11
750	16
754	8
758	13
762	9
766	15
770	7
774	11
778	11
782	16
786	11
790	7
794	11
798	7
802	8
806	6
810	12
814	10
818	12
822	5
826	11
830	8
834	4
838	8
842	7
846	7
850	4
854	7
858	6
862	3
866	7
870	9
874	7
878	5
882	7
886	11
890	9
894	9
898	8
902	3
906	4
910	2
914	9
918	7
922	10
926	4
930	2
934	9
938	2
942	4
946	8
950	10
954	7
958	7
962	4
966	5
970	5
974	5
978	5
982	4
986	4
990	5
994	9
998	6
1002	5
1006	4
1010	3
1014	6
1018	6
1022	4
1026	2
1030	3
1034	4
1038	1
1042	2
1046	4
1050	3
1054	0
1058	6
1062	2
1066	2
1070	1
1074	1
1078	6
1082	3
1086	2
1090	0
1094	2
1098	2
1102	2
1106	3
1110	3
1114	1
1118	2
1122	1
1126	0
1130	1
1134	1
1138	0
1142	3
1146	0
1150	3
1154	1
1158	2
1162	2
1166	3
1170	2
1174	1
1178	1
1182	0
1186	2
1190	0
1194	2
1198	3
1202	2
1206	0
1210	1
1214	2
1218	0
1222	2
1226	1
1230	1
1234	0
1238	2
1242	1
1246	0
1250	2
1254	1
1258	1
1262	2
1266	2
1270	2
1274	2
1278	3
1282	0
1286	1
1290	1
1294	1
1298	1
1302	0
1306	2
1310	1
1314	1
1318	0
1322	0
1326	0
1330	0
1334	0
1338	1
1342	1
1346	0
1350	0
1354	1
1358	0
1362	0
1366	0
1370	1
1374	0
1378	0
1382	0
1386	0
1390	1
1394	1
1398	2
1402	1
1406	0
1410	1
1414	1
1418	0
1422	0
1426	0
1430	1
1434	0
1438	1
1442	0
1446	0
1450	0
1454	0
1458	0
1462	0
1466	1
1470	3
1474	0
1478	0
1482	0
1486	0
1490	1
1494	0
1498	0
1502	0
1506	0
1510	1
1514	0
1518	1
1522	0
1526	0
1530	0
1534	1
1538	0
1542	0
1546	0
1550	1
1554	0
1558	0
1562	0
1566	0
1570	0
1574	0
1578	0
1582	0
1586	0
1590	0
1594	0
1598	0
1602	0
1606	0
1610	1
1614	1
1618	0
1622	0
1626	0
1630	0
1634	0
1638	0
1642	0
1646	0
1650	0
1654	0
1658	0
1662	0
1666	0
1670	1
1674	0
1678	0
1682	0
1686	1
1690	0
1694	0
1698	0
1702	0
1706	0
1710	0
1714	0
1718	0
1722	0
1726	0
1730	0
1734	0
1738	0
1742	0
1746	0
1750	0
1754	0
1758	0
1762	0
1766	0
1770	0
1774	0
1778	0
1782	1
1786	0
1790	0
1794	0
1798	0
1802	0
1806	0
1810	0
1814	0
1818	1
1822	0
1826	0
1830	0
1834	0
1838	0
1842	0
1846	0
1850	1
1854	0
1858	0
1862	0
1866	0
1870	0
1874	0
1878	0
1882	0
1886	0
1890	0
1894	0
1898	0
1902	0
1906	1
1910	0
1914	0
1918	0
1922	0
1926	0
1930	0
1934	0
1938	0
1942	0
1946	0
1950	0
1954	0
1958	0
1962	0
1966	0
1970	0
1974	0
1978	0
1982	0
1986	0
1990	0
1994	0
