EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
177.751,0,0,0
297.573,0,0,0
298.527,0,0,0
234.924,0,0,0
298.203,0,0,0
298.518,0,0,0
297.042,0,0,0
298.204,0,0,0
297.726,0,0,0
298.863,0,0,0
298.656,0,0,0
298.117,0,0,0
137.225,0,0,0
77.1274,0,0,0
72.1453,0,0,0
298.503,0,0,0
154.959,0,0,0
295.935,0,0,0
298.668,0,0,0
298.757,0,0,0
298.896,0,0,0
225.896,0,0,0
298.455,0,0,0
298.657,0,0,0
299.265,0,0,0
298.835,0,0,0
175.742,0,0,0
298.639,0,0,0
298.334,0,0,0
298.041,0,0,0
295.288,0,0,0
298.996,0,0,0
299.438,0,0,0
298.051,0,0,0
21.2525,0,0,0
295.845,0,0,0
296.782,0,0,0
297.599,0,0,0
231.804,0,0,0
297.595,0,0,0
297.826,0,0,0
298.639,0,0,0
255.417,0,0,0
298.239,0,0,0
297.7,0,0,0
298.557,0,0,0
295.133,0,0,0
297.982,0,0,0
186.982,0,0,0
297.515,0,0,0
296.549,0,0,0
295.52,0,0,0
143.708,0,0,0
298.727,0,0,0
298.633,0,0,0
296.565,0,0,0
298.208,0,0,0
178.271,0,0,0
299.058,0,0,0
298.719,0,0,0
297.133,0,0,0
296.908,0,0,0
285.767,0,0,0
298.472,0,0,0
297.959,0,0,0
296.574,0,0,0
95.7299,0,0,0
297.471,0,0,0
56.2816,0,0,0
295.406,0,0,0
297.313,0,0,0
298.911,0,0,0
298.581,0,0,0
296.014,0,0,0
257.39,0,0,0
298.794,0,0,0
268.346,0,0,0
298.09,0,0,0
298.201,0,0,0
71.2349,0,0,0
214.214,0,0,0
298.447,0,0,0
297.511,0,0,0
297.964,0,0,0
271.929,0,0,0
299.224,0,0,0
177.526,0,0,0
298.398,0,0,0
298.021,0,0,0
298.447,0,0,0
297.335,0,0,0
83.316,0,0,0
298.446,0,0,0
54.0664,0,0,0
298.963,0,0,0
71.7578,0,0,0
298.782,0,0,0
298.884,0,0,0
298.358,0,0,0
297.99,0,0,0
