EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
385.798,0,0,0
92.4176,0,0,0
87.9304,0,0,0
82.4471,0,0,0
92.1762,0,0,0
103.091,0,0,0
109.36,0,0,0
146.785,0,0,0
106.753,0,0,0
115.808,0,0,0
109.282,0,0,0
114.422,0,0,0
101.159,0,0,0
213.618,0,0,0
88.3048,0,0,0
101.802,0,0,0
91.5562,0,0,0
90.2006,0,0,0
81.7273,0,0,0
133.649,0,0,0
116.016,0,0,0
109.781,0,0,0
105.041,0,0,0
109.179,0,0,0
93.9791,0,0,0
118.405,0,0,0
88.4913,0,0,0
131.008,0,0,0
104.567,0,0,0
216.131,0,0,0
166.597,0,0,0
169.862,0,0,0
79.4646,0,0,0
123.359,0,0,0
93.5004,0,0,0
106.863,0,0,0
108.972,0,0,0
93.8111,0,0,0
91.0174,0,0,0
107.753,0,0,0
170.817,0,0,0
126.281,0,0,0
97.6743,0,0,0
127.749,0,0,0
77.6604,0,0,0
120.072,0,0,0
591.476,0,0,0
94.9738,0,0,0
128.327,0,0,0
107.462,0,0,0
83.4807,0,0,0
63.849,0,0,0
104.065,0,0,0
87.303,0,0,0
81.1746,0,0,0
112.579,0,0,0
98.4707,0,0,0
94.8756,0,0,0
78.0905,0,0,0
114.643,0,0,0
94.2201,0,0,0
83.2764,0,0,0
130.648,0,0,0
76.6692,0,0,0
80.9051,0,0,0
114.823,0,0,0
127.419,0,0,0
105.196,0,0,0
515.746,0,0,0
105.271,0,0,0
97.5789,0,0,0
93.5461,0,0,0
101.605,0,0,0
92.6103,0,0,0
267.437,0,0,0
106.288,0,0,0
98.7315,0,0,0
111.141,0,0,0
79.0246,0,0,0
86.9636,0,0,0
97.7751,0,0,0
91.4205,0,0,0
315.989,0,0,0
82.6596,0,0,0
95.3849,0,0,0
277.467,0,0,0
101.47,0,0,0
124.367,0,0,0
99.3997,0,0,0
87.4948,0,0,0
106.492,0,0,0
92.0627,0,0,0
98.8946,0,0,0
85.5635,0,0,0
217.842,0,0,0
105.928,0,0,0
111.311,0,0,0
103.26,0,0,0
128.152,0,0,0
138.897,0,0,0
