EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.37279,0,0,0
60,0,0,0
60,0,0,0
6.84237,0,0,0
58.3875,0,0,0
60,0,0,0
60,0,0,0
4.07297,0,0,0
11.1869,0,0,0
7.75252,0,0,0
7.58933,0,0,0
6.82718,0,0,0
60,0,0,0
2.17353,0,0,0
0.813983,0,0,0
60,0,0,0
60,0,0,0
0.196319,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.54671,0,0,0
3.38004,0,0,0
1.96128,0,0,0
0.883399,0,0,0
5.649,0,0,0
14.0317,0,0,0
2.14553,0,0,0
2.03834,0,0,0
60,0,0,0
60,0,0,0
1.33013,0,0,0
60,0,0,0
60,0,0,0
0.367529,0,0,0
0.33435,0,0,0
60,0,0,0
60,0,0,0
5.22588,0,0,0
60,0,0,0
10.8897,0,0,0
15.2275,0,0,0
0.824618,0,0,0
1.51436,0,0,0
9.03398,0,0,0
3.63656,0,0,0
10.5219,0,0,0
10.3485,0,0,0
0.974191,0,0,0
60,0,0,0
60,0,0,0
11.0539,0,0,0
60,0,0,0
10.5904,0,0,0
8.20009,0,0,0
60,0,0,0
60,0,0,0
8.50008,0,0,0
8.29174,0,0,0
0.948012,0,0,0
1.82797,0,0,0
8.23967,0,0,0
4.20447,0,0,0
8.43034,0,0,0
60,0,0,0
60,0,0,0
32.1889,0,0,0
60,0,0,0
2.34691,0,0,0
60,0,0,0
60,0,0,0
7.87441,0,0,0
60,0,0,0
9.04455,0,0,0
4.74213,0,0,0
7.40434,0,0,0
11.1466,0,0,0
60,0,0,0
10.9962,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.08176,0,0,0
5.88106,0,0,0
7.24595,0,0,0
60,0,0,0
10.283,0,0,0
4.92668,0,0,0
60,0,0,0
60,0,0,0
3.99644,0,0,0
60,0,0,0
6.82163,0,0,0
2.49156,0,0,0
60,0,0,0
11.1186,0,0,0
4.6234,0,0,0
60,0,0,0
10.0294,0,0,0
2.06333,0,0,0
60,0,0,0
5.41149,0,0,0
60,0,0,0
2.46177,0,0,0
60,0,0,0
4.32355,0,0,0
60,0,0,0
8.13578,0,0,0
8.13559,0,0,0
9.40791,0,0,0
1.84245,0,0,0
1.50478,0,0,0
6.97868,0,0,0
2.92537,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.19166,0,0,0
6.02894,0,0,0
9.44868,0,0,0
60,0,0,0
4.98156,0,0,0
7.98354,0,0,0
0.400995,0,0,0
7.01676,0,0,0
10.9542,0,0,0
60,0,0,0
9.76815,0,0,0
60,0,0,0
60,0,0,0
9.53572,0,0,0
11.0258,0,0,0
60,0,0,0
60,0,0,0
5.27529,0,0,0
5.28191,0,0,0
6.4396,0,0,0
60,0,0,0
0.451156,0,0,0
60,0,0,0
5.32862,0,0,0
6.24986,0,0,0
1.68222,0,0,0
60,0,0,0
60,0,0,0
11.027,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.64627,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.2329,0,0,0
6.49292,0,0,0
5.08961,0,0,0
7.57005,0,0,0
60,0,0,0
1.37295,0,0,0
60,0,0,0
6.9312,0,0,0
7.16242,0,0,0
0.947955,0,0,0
60,0,0,0
7.78904,0,0,0
10.2206,0,0,0
60,0,0,0
8.41876,0,0,0
60,0,0,0
60,0,0,0
5.82072,0,0,0
9.57773,0,0,0
60,0,0,0
4.69434,0,0,0
9.36091,0,0,0
7.2024,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.83316,0,0,0
60,0,0,0
11.3899,0,0,0
60,0,0,0
60,0,0,0
8.67661,0,0,0
6.87049,0,0,0
10.3417,0,0,0
60,0,0,0
10.9446,0,0,0
60,0,0,0
10.138,0,0,0
60,0,0,0
9.87842,0,0,0
8.86148,0,0,0
8.89595,0,0,0
10.577,0,0,0
6.45452,0,0,0
1.71331,0,0,0
