EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.1099,0,0,0
60,0,0,0
60,0,0,0
8.71742,0,0,0
60,0,0,0
6.99693,0,0,0
60,0,0,0
60,0,0,0
2.93924,0,0,0
60,0,0,0
6.33833,0,0,0
10.8071,0,0,0
4.8608,0,0,0
9.36629,0,0,0
1.3219,0,0,0
60,0,0,0
35.6594,0,0,0
1.95448,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.61045,0,0,0
2.34199,0,0,0
6.38669,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.91798,0,0,0
3.31316,0,0,0
60,0,0,0
8.90938,0,0,0
11.3659,0,0,0
60,0,0,0
60,0,0,0
1.4981,0,0,0
1.52437,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.72217,0,0,0
60,0,0,0
60,0,0,0
9.0749,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.2726,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.7615,0,0,0
60,0,0,0
3.44128,0,0,0
3.42866,0,0,0
7.03236,0,0,0
0.169685,0,0,0
60,0,0,0
9.45141,0,0,0
0.212067,0,0,0
4.09298,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.3592,0,0,0
60,0,0,0
3.4168,0,0,0
60,0,0,0
9.08855,0,0,0
60,0,0,0
5.15716,0,0,0
0.123937,0,0,0
60,0,0,0
60,0,0,0
9.46708,0,0,0
9.44806,0,0,0
8.31732,0,0,0
60,0,0,0
9.504,0,0,0
4.91462,0,0,0
6.03937,0,0,0
10.3218,0,0,0
10.1121,0,0,0
60,0,0,0
60,0,0,0
0.794047,0,0,0
1.98563,0,0,0
10.7565,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.96223,0,0,0
3.57129,0,0,0
60,0,0,0
9.42557,0,0,0
10.4066,0,0,0
60,0,0,0
60,0,0,0
1.3449,0,0,0
1.28176,0,0,0
1.31889,0,0,0
39.2776,0,0,0
60,0,0,0
60,0,0,0
9.85777,0,0,0
2.42432,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.30321,0,0,0
1.67181,0,0,0
9.01327,0,0,0
60,0,0,0
9.38123,0,0,0
0.956355,0,0,0
8.10058,0,0,0
60,0,0,0
5.53104,0,0,0
60,0,0,0
2.66356,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.56468,0,0,0
60,0,0,0
4.33584,0,0,0
8.78117,0,0,0
10.0536,0,0,0
60,0,0,0
60,0,0,0
4.27704,0,0,0
60,0,0,0
9.66148,0,0,0
2.47518,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.45291,0,0,0
2.08631,0,0,0
60,0,0,0
60,0,0,0
0.972304,0,0,0
60,0,0,0
6.85181,0,0,0
1.48513,0,0,0
60,0,0,0
4.89677,0,0,0
8.68187,0,0,0
11.3561,0,0,0
60,0,0,0
60,0,0,0
3.29599,0,0,0
0.701429,0,0,0
60,0,0,0
60,0,0,0
9.79869,0,0,0
8.6575,0,0,0
60,0,0,0
60,0,0,0
10.8837,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.17267,0,0,0
12.6471,0,0,0
60,0,0,0
60,0,0,0
7.20739,0,0,0
60,0,0,0
2.84086,0,0,0
60,0,0,0
2.85384,0,0,0
5.38033,0,0,0
