n,nstd,lnn,nd2,R
1480,36.65,9.95152,9.8955,2.6869104
1114,35.44,7.490536,9.5688,2.02244472
833.33,26.6,5.60331092,7.182,1.512893948
625.23,22.83,4.20404652,6.1641,1.13509256
461.12,17.03,3.10057088,4.5981,0.837154138
335.57,20.95,2.25637268,5.6565,0.609220624
235.43,16.84,1.58303132,4.5468,0.427418456
166.32,13.03,1.11833568,3.5181,0.301950634
57.65,7.9,0.3876386,2.133,0.104662422
40.17,7.07,0.27010308,1.9089,0.072927832
24.2,5.47,0.1627208,1.4769,0.043934616
13.47,3.89,0.09057228,1.0503,0.024454516
7.75,3.08,0.052111,0.8316,0.01406997
4.28,2.02,0.02877872,0.5454,0.007770254
3.97,2.16,0.02669428,0.5832,0.007207456
2.25,1.48,0.015129,0.3996,0.00408483
1.75,1.24,0.011767,0.3348,0.00317709
1.67,1.22,0.01122908,0.3294,0.003031852
1.37,1.31,0.00921188,0.3537,0.002487208
1.47,1.05,0.00988428,0.2835,0.002668756
